original_index,predicted_label,model_used
353,SAD,gpt-4o
354,SAD,gpt-4o
355,HAPPY,gpt-4o
356,HAPPY,gpt-4o
357,HAPPY,gpt-4o
358,HAPPY,gpt-4o
359,HAPPY,gpt-4o
360,SAD,gpt-4o
361,SAD,gpt-4o
362,SAD,gpt-4o
363,HAPPY,gpt-4o
364,SAD,gpt-4o
365,SAD,gpt-4o
366,SAD,gpt-4o
367,SAD,gpt-4o
368,SAD,gpt-4o
369,HAPPY,gpt-4o
370,HAPPY,gpt-4o
371,HAPPY,gpt-4o
372,HAPPY,gpt-4o
373,SAD,gpt-4o
374,HAPPY,gpt-4o
375,SAD,gpt-4o
376,HAPPY,gpt-4o
377,SAD,gpt-4o
378,SAD,gpt-4o
379,HAPPY,gpt-4o
380,SAD,gpt-4o
381,SAD,gpt-4o
382,HAPPY,gpt-4o
383,SAD,gpt-4o
384,SAD,gpt-4o
385,HAPPY,gpt-4o
386,SAD,gpt-4o
387,SAD,gpt-4o
388,SAD,gpt-4o
389,SAD,gpt-4o
390,SAD,gpt-4o
391,SAD,gpt-4o
392,HAPPY,gpt-4o
393,HAPPY,gpt-4o
394,HAPPY,gpt-4o
395,SAD,gpt-4o
396,HAPPY,gpt-4o
397,HAPPY,gpt-4o
398,SAD,gpt-4o
399,SAD,gpt-4o
400,SAD,gpt-4o
401,SAD,gpt-4o
402,SAD,gpt-4o
403,HAPPY,gpt-4o
404,HAPPY,mistral-small-2503
405,SAD,mistral-small-2503
406,HAPPY,mistral-small-2503
407,SAD,mistral-small-2503
408,SAD,mistral-small-2503
409,SAD,mistral-small-2503
410,SAD,mistral-small-2503
411,SAD,mistral-small-2503
412,SAD,mistral-small-2503
413,HAPPY,mistral-small-2503
414,SAD,mistral-small-2503
415,SAD,mistral-small-2503
416,SAD,mistral-small-2503
417,SAD,mistral-small-2503
418,HAPPY,mistral-small-2503
419,HAPPY,mistral-small-2503
420,SAD,mistral-small-2503
421,SAD,mistral-small-2503
422,HAPPY,mistral-small-2503
423,HAPPY,mistral-small-2503
424,SAD,mistral-small-2503
425,HAPPY,mistral-small-2503
426,SAD,mistral-small-2503
427,SAD,mistral-small-2503
428,HAPPY,mistral-small-2503
429,SAD,mistral-small-2503
430,SAD,mistral-small-2503
431,HAPPY,mistral-small-2503
432,SAD,mistral-small-2503
433,HAPPY,mistral-small-2503
434,SAD,mistral-small-2503
435,SAD,mistral-small-2503
436,SAD,mistral-small-2503
437,HAPPY,mistral-small-2503
438,SAD,mistral-small-2503
439,SAD,gpt-4o
440,SAD,gpt-4o
441,HAPPY,gpt-4o
442,HAPPY,gpt-4o
443,SAD,gpt-4o
444,HAPPY,gpt-4o
445,HAPPY,gpt-4o
446,HAPPY,gpt-4o
447,HAPPY,gpt-4o
448,HAPPY,gpt-4o
449,SAD,gpt-4o
450,HAPPY,gpt-4o
451,HAPPY,gpt-4o
452,SAD,gpt-4o
453,SAD,gpt-4o
454,SAD,gpt-4o
455,SAD,gpt-4o
456,SAD,gpt-4o
457,SAD,gpt-4o
458,SAD,gpt-4o
459,SAD,gpt-4o
460,SAD,gpt-4o
461,SAD,gpt-4o
462,SAD,gpt-4o
463,HAPPY,gpt-4o
464,HAPPY,gpt-4o
465,SAD,gpt-4o
466,HAPPY,gpt-4o
467,SAD,gpt-4o
468,SAD,gpt-4o
469,SAD,gpt-4o
470,SAD,gpt-4o
471,HAPPY,gpt-4o
472,HAPPY,gpt-4o
473,HAPPY,gpt-4o
474,SAD,gpt-4o
475,SAD,gpt-4o
476,SAD,gpt-4o
477,SAD,gpt-4o
478,SAD,gpt-4o
479,SAD,gpt-4o
480,SAD,gpt-4o
481,SAD,gpt-4o
482,HAPPY,gpt-4o
483,HAPPY,gpt-4o
484,HAPPY,gpt-4o
485,SAD,gpt-4o
486,SAD,gpt-4o
487,HAPPY,gpt-4o
488,HAPPY,gpt-4o
489,HAPPY,gpt-4o
490,HAPPY,gpt-4o
491,HAPPY,gpt-4o
492,SAD,gpt-4o
493,SAD,gpt-4o
494,HAPPY,gpt-4o
495,SAD,gpt-4o
496,SAD,gpt-4o
497,HAPPY,gpt-4o
498,SAD,gpt-4o
499,HAPPY,gpt-4o
500,SAD,gpt-4o
501,SAD,gpt-4o
502,SAD,gpt-4o
503,SAD,gpt-4o
504,SAD,gpt-4o
505,SAD,gpt-4o
506,SAD,gpt-4o
507,HAPPY,gpt-4o
508,SAD,gpt-4o
509,HAPPY,gpt-4o
510,HAPPY,gpt-4o
511,SAD,gpt-4o
512,SAD,gpt-4o
513,HAPPY,gpt-4o
514,SAD,gpt-4o
515,SAD,gpt-4o
516,SAD,gpt-4o
517,HAPPY,gpt-4o
518,HAPPY,gpt-4o
519,HAPPY,gpt-4o
520,SAD,gpt-4o
521,SAD,gpt-4o
522,SAD,gpt-4o
523,HAPPY,gpt-4o
524,SAD,gpt-4o
525,SAD,gpt-4o
526,SAD,gpt-4o
527,SAD,gpt-4o
528,HAPPY,gpt-4o
529,SAD,gpt-4o
530,SAD,gpt-4o
531,SAD,gpt-4o
532,SAD,gpt-4o
533,SAD,gpt-4o
534,HAPPY,gpt-4o
535,HAPPY,gpt-4o
536,SAD,gpt-4o
537,HAPPY,gpt-4o
538,SAD,gpt-4o
539,HAPPY,gpt-4o
540,SAD,gpt-4o
541,HAPPY,gpt-4o
542,HAPPY,gpt-4o
543,SAD,gpt-4o
544,HAPPY,gpt-4o
545,SAD,gpt-4o
546,SAD,gpt-4o
547,SAD,gpt-4o
548,SAD,gpt-4o
549,SAD,gpt-4o
550,SAD,gpt-4o
551,SAD,gpt-4o
552,SAD,gpt-4o
553,SAD,gpt-4o
554,SAD,gpt-4o
555,HAPPY,gpt-4o
556,HAPPY,gpt-4o
557,HAPPY,gpt-4o
558,HAPPY,gpt-4o
559,SAD,gpt-4o
560,SAD,gpt-4o
561,SAD,gpt-4o
562,SAD,gpt-4o
563,HAPPY,gpt-4o
564,HAPPY,gpt-4o
565,HAPPY,gpt-4o
566,HAPPY,gpt-4o
567,SAD,gpt-4o
568,HAPPY,gpt-4o
569,SAD,gpt-4o
570,SAD,gpt-4o
571,HAPPY,gpt-4o
572,SAD,gpt-4o
573,SAD,gpt-4o
574,HAPPY,gpt-4o
575,SAD,gpt-4o
576,SAD,gpt-4o
577,SAD,gpt-4o
578,SAD,gpt-4o
579,SAD,gpt-4o
580,SAD,gpt-4o
581,SAD,gpt-4o
582,HAPPY,gpt-4o
583,SAD,gpt-4o
584,SAD,gpt-4o
585,SAD,gpt-4o
586,SAD,gpt-4o
587,HAPPY,gpt-4o
588,HAPPY,gpt-4o
589,HAPPY,gpt-4o
590,SAD,gpt-4o
591,SAD,gpt-4o
592,SAD,gpt-4o
593,HAPPY,gpt-4o
594,SAD,gpt-4o
595,SAD,gpt-4o
596,SAD,gpt-4o
597,SAD,gpt-4o
598,SAD,gpt-4o
599,SAD,gpt-4o
600,SAD,gpt-4o
601,HAPPY,gpt-4o
602,HAPPY,gpt-4o
603,SAD,gpt-4o
604,SAD,gpt-4o
605,HAPPY,gpt-4o
606,HAPPY,gpt-4o
607,HAPPY,gpt-4o
608,HAPPY,gpt-4o
609,SAD,gpt-4o
610,SAD,gpt-4o
611,SAD,gpt-4o
612,HAPPY,gpt-4o
613,HAPPY,gpt-4o
614,SAD,gpt-4o
615,HAPPY,gpt-4o
616,HAPPY,gpt-4o
617,SAD,gpt-4o
618,HAPPY,gpt-4o
619,SAD,gpt-4o
620,SAD,gpt-4o
621,HAPPY,gpt-4o
622,SAD,gpt-4o
623,HAPPY,gpt-4o
624,SAD,gpt-4o
625,SAD,gpt-4o
626,SAD,gpt-4o
627,SAD,gpt-4o
628,HAPPY,gpt-4o
629,SAD,gpt-4o
630,SAD,gpt-4o
631,SAD,gpt-4o
632,SAD,gpt-4o
633,HAPPY,gpt-4o
634,SAD,gpt-4o
635,HAPPY,gpt-4o
636,HAPPY,gpt-4o
637,SAD,gpt-4o
638,HAPPY,gpt-4o
639,HAPPY,gpt-4o
640,SAD,gpt-4o
641,SAD,gpt-4o
642,SAD,gpt-4o
643,HAPPY,gpt-4o
644,HAPPY,gpt-4o
645,HAPPY,gpt-4o
646,SAD,gpt-4o
647,SAD,gpt-4o
648,HAPPY,gpt-4o
649,HAPPY,gpt-4o
650,SAD,gpt-4o
651,SAD,gpt-4o
652,SAD,gpt-4o
653,HAPPY,gpt-4o
654,SAD,gpt-4o
655,SAD,gpt-4o
656,SAD,gpt-4o
657,HAPPY,gpt-4o
658,SAD,mistral-small-2503
659,HAPPY,mistral-small-2503
660,SAD,mistral-small-2503
661,SAD,mistral-small-2503
662,SAD,mistral-small-2503
663,SAD,mistral-small-2503
664,HAPPY,mistral-small-2503
665,HAPPY,mistral-small-2503
666,HAPPY,mistral-small-2503
667,SAD,mistral-small-2503
668,HAPPY,mistral-small-2503
669,SAD,mistral-small-2503
670,HAPPY,mistral-small-2503
671,HAPPY,mistral-small-2503
672,SAD,mistral-small-2503
673,HAPPY,mistral-small-2503
674,HAPPY,mistral-small-2503
675,SAD,mistral-small-2503
676,HAPPY,mistral-small-2503
677,SAD,mistral-small-2503
678,SAD,mistral-small-2503
679,HAPPY,mistral-small-2503
680,HAPPY,mistral-small-2503
681,HAPPY,mistral-small-2503
682,SAD,mistral-small-2503
683,SAD,mistral-small-2503
684,SAD,mistral-small-2503
685,HAPPY,mistral-small-2503
686,SAD,mistral-small-2503
687,SAD,mistral-small-2503
688,SAD,mistral-small-2503
689,SAD,mistral-small-2503
690,HAPPY,mistral-small-2503
691,SAD,mistral-small-2503
692,HAPPY,mistral-small-2503
693,HAPPY,mistral-small-2503
694,SAD,mistral-small-2503
695,SAD,mistral-small-2503
696,HAPPY,mistral-small-2503
697,SAD,mistral-small-2503
698,SAD,mistral-small-2503
699,SAD,mistral-small-2503
700,HAPPY,mistral-small-2503
701,HAPPY,mistral-small-2503
702,SAD,mistral-small-2503
703,SAD,mistral-small-2503
704,HAPPY,mistral-small-2503
705,HAPPY,mistral-small-2503
706,SAD,mistral-small-2503
707,SAD,mistral-small-2503
708,SAD,mistral-small-2503
709,SAD,mistral-small-2503
710,SAD,mistral-small-2503
711,SAD,mistral-small-2503
712,SAD,mistral-small-2503
713,HAPPY,mistral-small-2503
714,HAPPY,mistral-small-2503
715,SAD,mistral-small-2503
716,SAD,mistral-small-2503
717,SAD,mistral-small-2503
718,SAD,mistral-small-2503
719,HAPPY,mistral-small-2503
720,HAPPY,mistral-small-2503
721,SAD,mistral-small-2503
722,HAPPY,mistral-small-2503
723,HAPPY,mistral-small-2503
724,SAD,mistral-small-2503
725,SAD,mistral-small-2503
726,HAPPY,mistral-small-2503
727,SAD,mistral-small-2503
728,HAPPY,mistral-small-2503
729,HAPPY,mistral-small-2503
730,SAD,mistral-small-2503
731,SAD,mistral-small-2503
732,SAD,mistral-small-2503
733,SAD,mistral-small-2503
734,SAD,mistral-small-2503
735,HAPPY,mistral-small-2503
736,HAPPY,mistral-small-2503
737,SAD,mistral-small-2503
738,HAPPY,mistral-small-2503
739,HAPPY,mistral-small-2503
740,SAD,mistral-small-2503
741,HAPPY,gpt-4.1
742,SAD,gpt-4o
743,HAPPY,gpt-4o
744,SAD,gpt-4o
745,SAD,gpt-4o
746,HAPPY,gpt-4o
747,SAD,gpt-4o
748,HAPPY,gpt-4o
749,SAD,gpt-4o
750,SAD,gpt-4o
751,SAD,gpt-4o
752,SAD,gpt-4o
753,HAPPY,gpt-4o
754,HAPPY,gpt-4o
755,SAD,gpt-4o
756,SAD,gpt-4o
757,HAPPY,gpt-4o
758,HAPPY,gpt-4o
759,SAD,gpt-4o
760,HAPPY,gpt-4o
761,HAPPY,gpt-4o
762,HAPPY,gpt-4o
763,SAD,gpt-4o
764,HAPPY,gpt-4o
765,SAD,gpt-4o
766,SAD,gpt-4o
767,SAD,gpt-4o
768,HAPPY,gpt-4o
769,HAPPY,gpt-4o
770,HAPPY,gpt-4o
771,HAPPY,gpt-4o
772,SAD,gpt-4o
773,SAD,gpt-4o
774,SAD,gpt-4o
775,HAPPY,gpt-4o
776,SAD,gpt-4o
777,HAPPY,gpt-4o
778,HAPPY,gpt-4o
779,SAD,gpt-4o
780,SAD,gpt-4o
781,HAPPY,gpt-4o
782,SAD,gpt-4o
783,SAD,gpt-4.1
784,SAD,gpt-4.1
785,HAPPY,gpt-4.1
786,HAPPY,gpt-4.1
787,HAPPY,gpt-4.1
788,SAD,gpt-4.1
789,HAPPY,gpt-4.1
790,SAD,gpt-4.1
791,HAPPY,gpt-4.1
792,SAD,gpt-4.1
793,HAPPY,gpt-4.1
794,SAD,gpt-4.1
795,SAD,gpt-4.1
796,SAD,gpt-4.1
797,SAD,gpt-4.1
798,SAD,gpt-4.1
799,HAPPY,gpt-4.1
800,SAD,gpt-4.1
801,HAPPY,gpt-4.1
802,SAD,gpt-4.1
803,SAD,gpt-4.1
804,SAD,gpt-4.1
805,SAD,gpt-4.1-nano
806,HAPPY,gpt-4.1-nano
807,SAD,gpt-4.1-nano
808,SAD,gpt-4.1-nano
809,HAPPY,gpt-4.1-nano
810,HAPPY,gpt-4.1-nano
811,SAD,gpt-4.1-nano
812,SAD,gpt-4.1-nano
813,SAD,gpt-4.1-nano
814,HAPPY,gpt-4.1-nano
815,HAPPY,gpt-4.1-nano
816,SAD,gpt-4o
817,HAPPY,gpt-4o
818,SAD,gpt-4o
819,HAPPY,gpt-4o
820,HAPPY,gpt-4o
821,HAPPY,gpt-4o
822,HAPPY,gpt-4o
823,SAD,gpt-4o
824,SAD,gpt-4o
825,HAPPY,gpt-4o
826,HAPPY,gpt-4o
827,SAD,gpt-4o
828,SAD,gpt-4o
829,SAD,gpt-4o
830,HAPPY,gpt-4o
831,SAD,gpt-4o
832,SAD,gpt-4o
833,HAPPY,gpt-4o
834,SAD,gpt-4o
835,SAD,gpt-4o
836,SAD,gpt-4o
837,HAPPY,gpt-4o
838,HAPPY,gpt-4o
839,HAPPY,gpt-4o
840,SAD,gpt-4o
841,SAD,gpt-4o
842,SAD,gpt-4o
843,HAPPY,gpt-4o
844,SAD,gpt-4o
845,HAPPY,gpt-4o
846,SAD,gpt-4o
847,HAPPY,gpt-4o
848,SAD,gpt-4o
849,HAPPY,gpt-4o
850,HAPPY,gpt-4o
851,SAD,gpt-4o
852,HAPPY,gpt-4o
853,SAD,gpt-4o
854,HAPPY,gpt-4o
855,SAD,gpt-4o
856,HAPPY,gpt-4o
857,HAPPY,gpt-4o
858,SAD,gpt-4o
859,SAD,gpt-4o
860,SAD,gpt-4o
861,HAPPY,gpt-4o
862,HAPPY,gpt-4o
863,SAD,gpt-4o
864,SAD,gpt-4o
865,HAPPY,gpt-4o
866,SAD,gpt-4o
867,SAD,gpt-4o
868,HAPPY,gpt-4o
869,HAPPY,gpt-4o
870,SAD,gpt-4o
871,HAPPY,gpt-4o
872,HAPPY,gpt-4o
873,HAPPY,gpt-4o
874,SAD,gpt-4o
875,SAD,gpt-4o
876,SAD,gpt-4o
877,SAD,gpt-4o
878,HAPPY,gpt-4o
879,HAPPY,gpt-4o
880,SAD,gpt-4o
881,HAPPY,gpt-4o
882,SAD,gpt-4o
883,HAPPY,gpt-4.1-nano
884,HAPPY,gpt-4.1-nano
885,SAD,gpt-4.1-nano
886,HAPPY,gpt-4.1-nano
887,HAPPY,gpt-4.1-nano
888,SAD,gpt-4.1-nano
889,HAPPY,gpt-4.1-nano
890,HAPPY,gpt-4.1-nano
891,SAD,gpt-4.1-nano
892,SAD,gpt-4.1-nano
893,SAD,gpt-4.1-nano
894,SAD,gpt-4.1-nano
895,SAD,gpt-4.1-nano
896,HAPPY,gpt-4.1-nano
897,SAD,gpt-4.1-nano
898,SAD,gpt-4.1-nano
899,SAD,gpt-4.1-nano
900,SAD,gpt-4.1-nano
901,HAPPY,gpt-4.1-nano
902,HAPPY,gpt-4.1-nano
903,SAD,gpt-4.1-nano
904,SAD,gpt-4.1-nano
905,SAD,gpt-4.1-nano
906,SAD,gpt-4.1-nano
907,HAPPY,gpt-4.1-nano
908,SAD,gpt-4.1-nano
909,HAPPY,gpt-4.1-nano
910,SAD,gpt-4.1-nano
911,SAD,gpt-4.1-nano
912,SAD,gpt-4.1-nano
913,SAD,gpt-4.1-nano
914,HAPPY,gpt-4.1-nano
915,HAPPY,gpt-4.1-nano
916,SAD,gpt-4.1-nano
917,HAPPY,gpt-4.1-nano
918,SAD,gpt-4.1-nano
919,SAD,gpt-4.1-nano
920,HAPPY,gpt-4.1-nano
921,HAPPY,gpt-4.1-nano
922,SAD,gpt-4.1-nano
923,HAPPY,gpt-4.1-nano
924,HAPPY,gpt-4.1-nano
925,SAD,gpt-4.1-nano
926,SAD,gpt-4.1-nano
927,HAPPY,gpt-4.1-nano
928,HAPPY,gpt-4.1-nano
929,SAD,gpt-4.1-nano
930,SAD,gpt-4.1-nano
931,SAD,gpt-4.1-nano
932,SAD,gpt-4.1-nano
933,SAD,gpt-4.1-nano
934,SAD,gpt-4.1-nano
935,SAD,gpt-4.1-nano
936,HAPPY,gpt-4.1-nano
937,HAPPY,gpt-4.1-nano
938,SAD,gpt-4.1-nano
939,HAPPY,gpt-4.1-nano
940,HAPPY,gpt-4.1-nano
941,SAD,gpt-4.1-nano
942,SAD,gpt-4.1-nano
943,HAPPY,gpt-4.1-nano
944,HAPPY,gpt-4.1-nano
945,SAD,gpt-4.1-nano
946,HAPPY,gpt-4.1-nano
947,SAD,gpt-4.1-nano
948,SAD,gpt-4.1-nano
949,HAPPY,gpt-4.1-nano
950,SAD,gpt-4.1-nano
951,SAD,gpt-4.1-nano
952,HAPPY,gpt-4.1-nano
953,HAPPY,gpt-4.1-nano
954,SAD,gpt-4.1-nano
955,SAD,gpt-4.1-nano
956,HAPPY,gpt-4.1-nano
957,SAD,gpt-4.1-nano
958,HAPPY,gpt-4.1-nano
959,HAPPY,gpt-4.1-nano
960,SAD,gpt-4.1-nano
961,SAD,gpt-4.1-nano
962,SAD,gpt-4.1-nano
963,HAPPY,gpt-4.1-nano
964,SAD,gpt-4.1
965,HAPPY,gpt-4.1
966,SAD,gpt-4.1
967,SAD,gpt-4.1
968,HAPPY,gpt-4.1
969,HAPPY,gpt-4.1
970,SAD,gpt-4.1
