comment,label,label_id
خوب و خوشمزه. فقط یه کم کوچیک بود مرغش.,HAPPY,0.0
کیفیت بسیار بد!!! من ساندویچ ژامبون ویژه سفارش دادم وسیب زمینی سوخاری متاسفانه کیفیت هردو بسیار پایین بود ژامبون بی کیفیت مواد اصلی ساندویچ! سیب زمینی هم سبز کرده، بسیار بد رنگ وچرب به طوریکه روغن کف ظرف کاغذیو گرفته بود. غذا هم سرد به دستم رسید، به جز ٣ تا سس قرمز هیچ چیزی همراهش نبود، نه سس دیگ ای، نه نمک وفلفل … به طور کلی بسیار ضعیف وبی کیفیت …,SAD,1.0
شیرینی ناپلئونی خیلی معمولی بود و مزه ناپلئونی نداشت! و شیرینی زبان خشک و بی مزه بود … که کلا شیرینی زبان رو ریخیتم دور! من مشتریتونم ولی لطفا کمی کیفیت رو هم بهبود بدین، ممنون!,SAD,1.0
متاسفانه یکی از آیتم‌ها موجود نبود که پشتیبانی اطلاع داد و از فاکتور حذف شد,SAD,1.0
چیکن ناندوز را قبلا سفارش داده بودم، هم نوع مرغ متفاوت بود و هم تندی بسیار مناسب و خوش طعمی داشت. اما متاسفانه این بار اصلا خوب نبود و تندی بیش از حدی داشت که غیر قابل خوردن بود. امریکن برگر هم متاسفانه مزه کباب دیگی میداد.,SAD,1.0
من انتخابم همیشه سومر مارکت طاهر هست و اجناس همیشه تازه و به روزن,HAPPY,0.0
غذا بعد از ۱ ساعت و نیم با رفتار طلبکارانه پیک یخ کرده و لیچ افتاده. کمترین کاری که میشه کرد سفارش ندادن از دفعات بعدیه …! که البته اگه برای مدیریت مهم بود مدیریت میکرد این بی نظمیو بی کیفیتیو.,SAD,1.0
بسیار عالی. کاملا راضی بودم. غذا به موقع رسید و بسیار خوشمزه بود. با تشکر,HAPPY,0.0
نان عالیییی. ولی تاخیر خیلی خیلی زیاد,HAPPY,0.0
اصلا انتظار نداشتم انقدر بدمزه باشه. کوکی که انگار دوهفتس تو یخچال مامانبزرگم مونده. ناپل اونی ام انگار لای چندتا نون لواش ی لایه نازک خامه زدی. من همیشه ازینجا رولت میگیرفتم عالی بود. ولی احتمالا دیگه ازینجا خرید نمیکنم.,SAD,1.0
یک ساعت و نیم منتظر بودیم,SAD,1.0
قوطی نوشابه همراه غذا به دلیل فشرده شدن سوراخ شده بود و کمی از نوشابه بیرون ریخته بود لطفا تذکر دهید,HAPPY,0.0
بسته بندی ساندویچ‌ها به شدت بی کیفیت و ابتدایی بود، به طوری که بجای اینکه ساندویچی که این همه پنیر پیتزا درش بکار رفته رو در یک ظرف بگذارند تا بهش فشار نیاد و نونش له نشه، رو انداخته بودند توی یک پلاستیکه نامناسب. هم ساندویچ‌ها له شده بود و هم مواد داخلش بیرون ریخته بود. ما که با کارد و چنگال خوردیم. کیفیت مهمتر از کمیت هست..,SAD,1.0
لیموترش‌ها خیلی تازه نبودن,HAPPY,0.0
مرسی از توجه به توضیحات، نون‌ها عالی و برشته.,HAPPY,0.0
غذا بد بود و بی کیفت,SAD,1.0
کیفیت غذا مناسب هزینه پیک بالا,HAPPY,0.0
موزش کم بود و خیلی دیر رشید دستمون. همش زمانش اضافه میشد ولی طعم خیلی خوبی داشت,HAPPY,0.0
گوجه‌فرنگی کنار کباب سوخته بود بقیه بخصوص جوجه خوب بود,HAPPY,0.0
پیتزا مخلوط یه پیتزای کاملا عادی و طعم نه چندان مورد سلیقه من. فکر میکنم بشه از پنیر خوش طعم‌تری استفاده کرد.,SAD,1.0
خیلی ابتدایی، بی مزه و بد بود. اصلا توصیه نمی‌کنم.,SAD,1.0
میتونید جوری بسته بندی کنید که اقلام سفارشی بهم فشرده نباشند که از ۹ عدد تخم مرغ ۳ تا شکستت برسه به دست مشتری,HAPPY,0.0
زمان تحویل عالی و سریع بود. برخورد نفر پیک رضایت کامل بود. کیفیت برنج خوب و کبابش مععععمولی,HAPPY,0.0
به نسبت قبل کیفیت کمتر شده محتویات هم کمتر شده و با توجه به قیمتش دیگه بصرفه نیست برش قطعات رو هم بزرگ‌تر کردن و مثل قبل کوچک نیست,SAD,1.0
بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,HAPPY,0.0
غذا کاملا سرد رسید با اینکه فاصله خیلی کم بود! و اینکه بال کاملا قسمت سوخاریش خمیر شده بود,SAD,1.0
خداییش دستتون درد نکنه نسبت به قیمت عاااااالی بود,HAPPY,0.0
واسه ۱دونه پیتزا ۲ساعت تاخیر غیرقابل قبول میباشد باگت عزیز اگر ظرفیت تحویل غذا را در ساعات پیک ندارید سفارش نگیرید لطفا,SAD,1.0
ساندویچ خیلی خوب بود فقط به علت جابجایی کل ساندویچ به سمت جمع میشود,HAPPY,0.0
قارچ بسیار عالى بود ولى مرغ سوخارى داخلش نپخته و به نظر مونده بود,HAPPY,0.0
من در کل باگتو دوست دارم، اما کیفیت ساندویچ استیک خیلی افت کرده,HAPPY,0.0
پیتزا واقعا بد بود توقع از این رستوران پیتزا با خمیر و محصولات با کیفیت بیشتری داشتم,SAD,1.0
شیرینی‌ها بسیار تازه و خوشمزه بودن,HAPPY,0.0
نوشابه ارسال نشده بود متاسفانه …مرغ هم بی مزه بود!,SAD,1.0
با سلام کیفیت نون خامه‌ای خوب نبود هم نونش هم خامه کم بود و تنوع شیرینی‌تر خیلی ضعیف بود لطیفه، نون خامه‌ای و رولت ساده ساده که اگر خودمون مراجعه می‌کردیم این مدل رولت رو نمی‌گرفتیم واقعا یعنی همین یه مدل رولت رو داشتید؟! ولی طعم شیرینی مناسب بود,HAPPY,0.0
من کلا ساندویچ مرغ نمیخوردم به پیشنهاد یکی از دوستان از این رستوران ساندویچ مرغ گرفتم و شدم مشتری ثابتشون. به نظرم ارزش داره کسانی که مرغ دوست ندارن یکبار ساندویچ استیک مرغ مخصوص اینجا رو تست کنن,HAPPY,0.0
غذا بسیار سرد و با تاخیر زیاد رسید,SAD,1.0
نان بدون پلاستیک تحویل داده شد که اصلا بهداشتی نیست,SAD,1.0
غذا کاملا سرد بود و بزخورد مسئول رستوران وقتی برای پیگیری زنگ زدیم فوق العاده بد بود,SAD,1.0
به نظرم بهتره قبل از درست کردن ساندویچ، نان‌ها رو با دستگاه تست کرد تا ساندویچ‌ها وا نره. ممنون,HAPPY,0.0
بسیار تازه و خوشمزه. ممنون,HAPPY,0.0
سالاد کرنبری = هم از کاهوهای قدیمی و پلاسیده استفاده کردن و هم اینکه خیلی درشت درشت بریده شد بود و لازم بود که دوباره با چاقو بریده بشن پیتژا باروژ = انتظار میره پیتزایی که به اسم رستوران هستش، بهترین پیتژا باشه؛ اما این رستوران پیتزاهای بهتر از این هم داره. پیتزا باروژ فقط مزه‌ی سیر میده!,SAD,1.0
غذا سرد بود وسوپ اصلا خوشمزه نبود اسپرینگ رول سرد بود,SAD,1.0
کیفیت عذا خوب بود. ولی به نسبت حجم، خیلی گرون بود. با همین قیمت و کیفیت رستورانهای دیگه، حجم غذاشون خیلی بیشتره.,SAD,1.0
تمام سیب زمینی‌ها چسبیده بودن به ظرف. بعد کارتن خیس شده بود و کنده نمیشد اصلا نشد بخورم. خیلی ناراضی ام,SAD,1.0
سیب زمینی سوخته بود,SAD,1.0
متاسفانه غذا خیلی بد بود، سس آلفردو بد طعم بود، اصلا سس آلفردو نبود، یه سس سفید معمولی و ناپخته,SAD,1.0
کیفیت شرینی بسیار پایین بود و شیرینی خیلی کهنه و مونده,SAD,1.0
یکی از موارد سفارش را اشتباه برام فرستاده بودن که پیک اسنپ خیلی سریع برام برد و تعویضش کرد. ممنون از زوکت البته این اشتباه هم به خاطر شلوغ بودن سفارشات بوده و ممنون از پیک محترم اسنپ فود,HAPPY,0.0
اگه این شیر مانیزان که بسیار باکیفیت هست و موجود کنید ممنون میشم و در نهایت به نظر بنده هم کار اسنپ فود حرفه‌ای هست و هم این سوپرمارکت با ارزوی موفقیت بیشتر,HAPPY,0.0
له شده بود اصلا خوب نبود,HAPPY,0.0
عالیییی بود عاااالی ما دوتا سفارش دادیم ۴نفر خوردن فقط یه مقدار پنیرش خوب آب نشده بود یک ربعه رسید بسته بندی خوب,HAPPY,0.0
واقعا از گوشت مانده و بسیار بد طعم داره شده استفاده شده بود استفاده از زیره!!!,SAD,1.0
سلام عالیه تورو خدا همینجوری با خاک قند باشه جدا نباشه,HAPPY,0.0
به جای گوشت چرخ شده از سویا استفاده شده بود من به سویا حساسیت دارم نتونستم بخورم,SAD,1.0
سلام. بستنی درخواستی لیوانی ماکسی بوده متأسفانه بدون کوچکترین هماهنگی و سوال، بستنی چوبی ارسال نمودند.,SAD,1.0
یک سیخ اضافه گوجه سفارش دادم ولی نیاوردند. البته خود جوجه کباب گوجه داشت ولی سیخ اضافه نبود.,SAD,1.0
واقعا کیفیت پیتزاهاتون حرف نداره و خدا کنه همیشه همین مدلی هم بمونه فقط تو رو خدا یکم از قیمت مالیاتتون کم کنید,HAPPY,0.0
من همیشه از شما غذا میگیرم وای این سری اصلا کیفیت غذاتون خوب نبود، سس نفرستاده بودین واقعا فکر نکردین ساندویچو چجوری میشه بدون سس خورد ا!!!!,SAD,1.0
برای یه مرغ دو تیکه بیش از ۱ ساعت زمان برد در صورتی که خودم با رستوران تماس میگرفتم سریعتر میومد کیفیت مرغ خیلی بد بود و سیب زمینی کنار غذا کاملا مانده بود,SAD,1.0
تنباکو‌های ارسالی تاریخ مصرف شان گذشته بود.,SAD,1.0
غذا کاملاسردبود …. جوجه اصلا کیفیت نداشت.. دورچین اون چیزی نبود ک توی عکس و توضیحات داشتید …..,SAD,1.0
دلیوری عالیه! فک کنم زیر ۱۰ دیقه تحویل گرفتم,HAPPY,0.0
واقعا بدترین نوع کیفیت رو داشت,SAD,1.0
قاشق به همرا غذا فرستاده نشده بود فاکتور لازم داشتم که اون رو هم نفرستاده بود کیفیت غذا هم ضعیف بود متاسفانه,SAD,1.0
همه چی ناب بود همین فرمون برید جلووووو,HAPPY,0.0
سلام فقط اگر محدودیتی در حداقل مبلغ خرید تعیین نمیکرد، خیلی بهتر بود.,HAPPY,0.0
به نظر من خوب بود. مخصوصا بسته بندیش,HAPPY,0.0
ارزش ۱ نیم ساعت وقت رو نداشت براش منتظر موندم,SAD,1.0
حجم کم. کیفیت پایین. من راضی نبودم,SAD,1.0
همه چی خوب بود. به خصوص کته‌ها و ماهی کبابی. ولی سوپ کمی شور بود.,HAPPY,0.0
مزه‌ی خوبی داشت ولی خیلی دیر به دستم رسید و به جای ۴تیکه ۳تیکه مرغ توی جعبه بود..,SAD,1.0
همه چیز خوب بود به جز سالاد فصل که از کاهوی تلخ استفاده شده بود.,HAPPY,0.0
مثل همیشه نبود، از سه پرس یکیش خورده نشد. کیفیت پایین,SAD,1.0
مرغ مونده بود. شاید برای همین تخفیف خورده بود.,HAPPY,0.0
بد بود بدترین پیتزای عمرم بود هم مقدارش به نسبت قیمت کم بود هم مزه‌ی خیلی بدی داشت,SAD,1.0
خیلی خوب و سریع جنسهای درخواستی تحویل داده شد متشکرم,HAPPY,0.0
عالی بود جوجه با استخوناشون حرف نداشت خیلی خوش مزه بود,HAPPY,0.0
برخورد خود مسئول رستوران بسیار بد ولی از پیگیری اسنپ فود ممنونم,HAPPY,0.0
واقعا یه زمانی برگر لند یکی از بهترینها بود، ولی الان در حد معمولی هم نیست، نمیدونم چی شده اینقدر افت کرده کیفیت برگراش. حیف,SAD,1.0
کیفیت غذا با توجه به هزینش خیلی خوب بود ممنون,HAPPY,0.0
بسیار عالی بود دو روز پشت سرهم سفارش دادم!,HAPPY,0.0
کیفیت غذا نسبت به قبل پایین امده من در مورد غذا توضیحاتی داده بودم مثل سس اضافه ولی سس اضافه که نذاشتن هیچ اصلا سس نذاشته بودن,SAD,1.0
پیتزا پنجره‌ای خوب بود ولی سبزیجات نمیدونم چرا اینبار مزه‌ای نداشت: (قبلا بهتر بود، ولی ممنون از تحویل به موقع,HAPPY,0.0
از زمانی که سفارش دادم تا وقتی به دستم رسید یک ساعت زمان برد و بجای دو کیلو شیرینی یک کیلو ارسال کرده بودند که کم اومد و وسط کلاس کلی خجالت زده شدم,SAD,1.0
نان هات داگ تازه نبود و از هم میپاشید,HAPPY,0.0
مایع دستشویی اوه، من رنگ صورتی یا بنفش فک کنم، با رایحه شیر و‌گل‌های بهاری سفارش دادم ولی رنگ سبز با راسحه خیار و الوئه ورا فرستادن,HAPPY,0.0
شیرنی دانمارکی به جای ۱ کیلو ۸۰۰ گرم بود لطفا رسیدگی کنید,SAD,1.0
کیفیت و خوشمزگی پیتزا نسبت به دفعه قبل کم شده و نسبت به دیگر رستوران‌های خوب خیلی پائین‌تر است متاسفانه باید بگم که این اخرین خرید من خواهد بود,SAD,1.0
خوشمزه بود. کشک به نسبت کم بود. بسته بندی و کیفیت خوب بود,HAPPY,0.0
کیفیت برنج خوب بود ولی کیفیت جوجه واقعا بد بود. انقد سفت بود که اصلا خورده نمیشد. مثل اینکه از مرغ یخ زده استفاده کرده بودند.,SAD,1.0
این سوپر مارکت باتوجه به این که من چند بار حضوری خرید کردم اجناس در اسنپ فود خیلی کمتر از سوپرمارکت هست و اجناسی مثل روغن سرخ کردنی در اسنپ فودش موجود نیست امیدوارم با پیگیری اسنپ فود محولات فروشگاه‌ها در اسنپ فود بروز و کامل باشد,SAD,1.0
غذا سرد بود طعم غذا خوب بود,HAPPY,0.0
شیرینی خیلی تازه نبود.,SAD,1.0
دورتادور نون پیتزاش سوخته بود,SAD,1.0
نان خوب پیک خوب پشتبانی خوب اسنپ فود,HAPPY,0.0
عالی بود زود رسید ممنونم,HAPPY,0.0
قیمت درج شده روی کالاها با قیمت درخواستی مغایرت داشت، به عنوان مثال دوغ عالیس نرخ ثبت شده روی بطری ۵۵۰۰ تومان بود که ۶۸۰۰ تومان و سیگار ۸۰۰۰ تومان که ۱۱۰۰۰تومان حساب شد >: (,SAD,1.0
دفعه قبل پیتزا گرفته بودیم و درس عبرت نشد، این بار همبرگر گرفتم و دیگه درس عبرت شد. همبرگر با گوشت چرخ‌کرده فرق می‌کنه، نپخته و بد. واقعن به رتبه‌ی رستوران‌ها نمی‌شه اعتماد کرد,SAD,1.0
تازه و خوشمزه فقط هزینه ارسال برای این مسیر کوتاه خیلی زیاده,HAPPY,0.0
ممنونم نان‌هم‌گرم‌بود‌و به‌موفع رسید‌,HAPPY,0.0
یکم بی طعم و مزه بود,HAPPY,0.0
سلام. دو مطلب: اولا نوار بهداشتی رو این هایپرمارکت ۷۵۰۰ میفروشه در حالی که چند ساعت بعدش با همین اسنپ فود از یه هایپر مارکت دیگه خریدم دونه‌ای ۵۰۰۰ تومن. ثانیا به جای ۴ تا کیک مینی شی ناین ۴ تا پیراشکی نان اوران فرستادن. میخواستم بدونم این تصمیم پیک بود یا هایپرمارکت و محترمانه نبود قبلش از من هم نظرمو میپرسیدن؟,SAD,1.0
متاسفانه یک عدد نون گزاشتن واسه یک پرس بندری واقعا جای تاسف داره,SAD,1.0
بسیار وقت شناس، دقیق و محترم!,HAPPY,0.0
به موقع و با کیفیت,HAPPY,0.0
اجناسی که تو منو زدن رو تداشتن و کلی معطل شدم و چون حساب رو پرداخت کرده بودم مجبور شدموچیز دیگه‌ای سفارش بدم,SAD,1.0
عالی بود خیلی هم سریع و داغ به دستم رسید,HAPPY,0.0
پیک غذا را گذاشته تو آسانسور میگه غذا زیاد دارم وقت ندارم خود برای چی پول سرویس پیگیری وقتی چند تا سرویس را با هم انجام میدی؟,SAD,1.0
متاسفانه پیک اسنپ فود شیرینی‌ها رو بهم ریخته تحویل داد و به هر کی که تعارف کردم محبور شدم یکبار هم بابت وضعیت ظاهری بد شیرینی‌ها معذرت بخوام,SAD,1.0
عالیییی فقط پنیرش نسبت به قارچ کم بود درکل عالی ما سه نفری سیر شدیم,HAPPY,0.0
حجم غذا نسبت به گذشته کم شده، ساندویچ چیکن، مرغش بو میداد …,SAD,1.0
اولین تجربه‌ام از رستوران شما بود. کیفیت و مزه کباب خوب بود فقط سرد بود. با اینکه فاصله زیادی نداشتیم. از پیک محترم هم ممنون و سپاسگزاریم.,HAPPY,0.0
کیفیت میوه نسبت به قیمت خیلی پایین بود. قیمت درجه یک و بعضی از میوه‌ها درجه ۳ بود. سومری سر کوچه میوه بهتر با قیمت پایین‌تری بهم داد.,SAD,1.0
غذا با تاخیر ارسال شد انقدر غذا سرد شده بود که ماسیده بود و مجبور شدم ٢ تا گاز بزنم متاسفانه بندازم بیرون.,SAD,1.0
"غذا یخ بسته بود و این باعث میشه کیفیت غذا پایین بیاد مجددا گرم شد طعم کلی تغییر کرد و در عین حال کیفیت پیتزا مرغ و اسفناج خیلی بهتر از پپرونی بود و دور پیتزا سوخته بود , ممنونم",SAD,1.0
طعم و بسته عالی بود واقعا متشکرم و خسته نباشید سال‌ها بود چنین دیزی نخورده بودیم,SAD,1.0
بسته بندی شیک و تر تمیز غذای خوشمزه، واقعا خوب بود,HAPPY,0.0
شیری که برای من ارسال کردین تاریخ انقضاش فرداست!!! برای اینجور کالاها اول باید تاریخ انقضا رو چک کنین بعد بفرستین,HAPPY,0.0
من چیز کیک میکس سفارش داده بودم که بسته‌ای که برام اومد نصفش چیز کیک بود نصفش کیک خامه ایه توت فرنگی!!!!!!,SAD,1.0
مرغ سوخاری و چیکن برگرش عالی بود، هات داگش هم خوب بودخیلیم زود رسید، خیلی ممنونم,HAPPY,0.0
انقدر مانده بود شیرینی‌ها که از هرچی شیرینی بود زده شدم واقعا بد بود,SAD,1.0
به معنای واقعی افتضاح بود، مرغ خیلی بدمزه و بوی بد و نامطبوعی داشت داخل ساندویج کباب ترکی دریغ از یک پر کاهو و خیار شور یا گوجه تو رو خدا کیفیت پایین غذا رو گردن بالا بودن هزینه‌ها نندازید چون بابت همین دو قلم ۶۰ تومان پول پرداخت شد,SAD,1.0
سالاد سزار خیلی سیر داشت قابل استفاده برای کسی که در محیط کار غذا میخورد نبود میتوانستند از مقدار ملایم‌تری سیر استفاده کنند,SAD,1.0
کیفیت متوسط بود اما به نسبت در زمان خوبی رسید,HAPPY,0.0
سلام خسته نباشید، ممنون از شما عزیزان هستیم بالاخص جناب مدیریت این مجموعه که بسیار به ما لطف دارند وپیشاپیش سال جدیدرابه شما وخانواده محترمتان تبریک میگوییم امیدوارم سالی پر ازسلامتی و برکت داشتخ باشید,HAPPY,0.0
متن و خامه روی کیک ریخته شده بود,SAD,1.0
پیتزا خیلی حجم خوبی داشت، برای دونفرم کافی هستش و طعم خوبی داشت,HAPPY,0.0
زود به دستم رسید، تازه بود دانمارکی هنوز گرم بود,HAPPY,0.0
از بیرون شبیه کوبیده، از داخل شیبه لاستیک,SAD,1.0
بعد از چندین بار که هر دفعه از نامیا سفارش میدادم یه چیزیو بعد زنگ میزدن که موجود نیست این دفعه شد. نوشته استیک گوشت توشه ولی ژامبون گوشته,SAD,1.0
گوشت‌ها نپخته، قارچ خام و پیاز خام و زنده، نون باگت در اثر روغن بیش از حد گوشت خیس شده و قابل خوردن نیست اولین و آخرین بار بود از اینجا خرید کردم افتضاح,SAD,1.0
کرم شیرینی مونده و سفت شده بود، مرباهای روی تارت خشک شده و بدمزه بود. اولین بار بود که از این جا شیرینی میگرفتیم و قطعا آخرین بار!,SAD,1.0
سلام. با تشکر از شما اما ممنونم میشم وقتی داخل توضیحات سفارش نوشته می‌شود دانشگاه و تحویل به فرد دانشجو، همراه غذا قاشق و چنگال یکبار مصرف و دستمال گذاشته شود. چون ما اینجا این امکانات رو نداریم و سالاد هم بدون چنگال که نمیشه خورد! همچنین با توجه به قیمت بالا نسبت به حجم پیتزا، فک نمیکنم یه سس اضافه بزارن تغییری تو قیمت پیش بیاد. ممنونم از شما از اسنپ فود نیز بابت تعهد نسبت به تغییر هزینه در ارسال پیک متشکرم. و اطلاع رسانی. تشکر,SAD,1.0
رست بیف خوب نبود!!!,SAD,1.0
کوبیده هاتون چرا سفیده؟ گوشت داره اصلا؟,SAD,1.0
غذا خیلی خوب بود، خیلی سریع رسید و قیمتشم خیلی مناسب بود نسبت به باقی رستورانهای این اطراف.,HAPPY,0.0
سفارشم خیلی دیر آماده شد ولی وقتی آماده شد پیک خیلی سریع بهمون رسوند,HAPPY,0.0
خواسته بودم داغ برسه اما داغ داغ نبود. طعمشم میتونه‌ی مقدار بیشتر باشه,HAPPY,0.0
محشر بود. خیلی عاااااالی,HAPPY,0.0
مرغ با اون همه رب روی برنج گذاشتن و ظرف جدا در نظر نگرفتن واسش، تمام غذا رو خراب میکنه و لااقل با سلیقه من همخون نیست.,SAD,1.0
تعداد آیتم‌های انتخابی بسیار کم است. در دقت در آوردن اقلام و مدت ارسال مشکلی نبود و همه چسز به درستی انجام میشود ولی ضعفی که دارد تعداد اقلامی که میتوان از سایت زوکت انتخاب کرد بسیار محدود هستند. همین باعث میشود به فکر سوپر مارکت‌های دیگر باشیم.,SAD,1.0
برای اولین بار بود باقلوا سفارش می‌دادم شیره ش زیاده و چربه البته مغزش هم خیلی کمه من اینجوری زیاد نمی‌پ-ن-م,HAPPY,0.0
من تا حالا مشتری شما بودم ولی بخاطر قیمت بسیار بالا نسبت به حجم و کیفیت، دیگه از اینجا خرید نخواهم کرد,HAPPY,0.0
از این سوپرمارکت خیلی راضی ام همیشه دقیق و سریعه,HAPPY,0.0
پیک بسته رو تحویل نمیداد و میگفتن کخ پول پرداخت کنید درصورتی که انلاین پرداخت شده بود.. تمام سوپ داخل نایلون ریخته و قابل استفاده نبود,SAD,1.0
طعم فوق العاده‌ای داشت و غذا گرم و سریع به دستمون رسید عالی بود,HAPPY,0.0
پیتزا مثل همیشه عالی ولی سیب زمینی متاسفانه اصلا خوب نبود نپخته بود و سس خامه اصلا خوشمزه نبود.,HAPPY,0.0
سلام چرا وقتی ۲تا سفارش داده میشه گوشکوب را یکی میفرستن در صورتی که هزینه بسته بندی رو گرفتن به نسبتی که نوشتن میزان گوشت خیلی کم‌تر بود وغذا خیلی زیاد مزه گرد لیمو میداد,HAPPY,0.0
مرغ کاملا سرد و برنج کاملا گرم بود.,SAD,1.0
واقعا ۱ ساعت برای یک دونه‌پیتزا زمان زیادی ما این مسیر‌و برای سفارش‌انتخاب‌میکنیم که سریع به‌دستموم‌برسه‌همیشه هم سیب چند ساله که خیلی خیلی زمان می‌بره غذاش,SAD,1.0
فقط باید بگم که متاسفم. کیفیت فوق العاده پایین، زیر صفر,SAD,1.0
همه چی عالی بود به جز ماشروم برگر افتضاح بوی بد میداد مجبور شدم بندازمش دور ولی بقیه غذاها عالللللللی بود,HAPPY,0.0
بااینکه در توضیحات نوشته بودم، شیرینی پخت امروز رو بیارن ولی ظاهرا اینطور نبود، یعنی مشخص بود از شیرینی‌های مانده هم گذاشته بودن، البته این دفعه اینطور بود، دفعه‌های پیش خیلی تازه بود,SAD,1.0
سلام خدا قوت واقعا پیتزاش خیلی معمولی بود حتی رو به پائین.,SAD,1.0
