original_index,comment,label,predicted_label,is_correct,model_used
60,ساندویچ خیلی خوب بود فقط به علت جابجایی کل ساندویچ به سمت جمع میشود,HAPPY,HAPPY,True,gpt-4o
61,قارچ بسیار عالى بود ولى مرغ سوخارى داخلش نپخته و به نظر مونده بود,HAPPY,SAD,False,gpt-4o
62,من در کل باگتو دوست دارم، اما کیفیت ساندویچ استیک خیلی افت کرده,HAPPY,SAD,False,gpt-4o
63,پیتزا واقعا بد بود توقع از این رستوران پیتزا با خمیر و محصولات با کیفیت بیشتری داشتم,SAD,SAD,True,gpt-4o
64,شیرینی‌ها بسیار تازه و خوشمزه بودن,HAPPY,HAPPY,True,gpt-4o
65,نوشابه ارسال نشده بود متاسفانه …مرغ هم بی مزه بود!,SAD,SAD,True,gpt-4o
66,با سلام کیفیت نون خامه‌ای خوب نبود هم نونش هم خامه کم بود و تنوع شیرینی‌تر خیلی ضعیف بود لطیفه، نون خامه‌ای و رولت ساده ساده که اگر خودمون مراجعه می‌کردیم این مدل رولت رو نمی‌گرفتیم واقعا یعنی همین یه مدل رولت رو داشتید؟! ولی طعم شیرینی مناسب بود,HAPPY,SAD,False,gpt-4o
67,من کلا ساندویچ مرغ نمیخوردم به پیشنهاد یکی از دوستان از این رستوران ساندویچ مرغ گرفتم و شدم مشتری ثابتشون. به نظرم ارزش داره کسانی که مرغ دوست ندارن یکبار ساندویچ استیک مرغ مخصوص اینجا رو تست کنن,HAPPY,HAPPY,True,gpt-4o
68,غذا بسیار سرد و با تاخیر زیاد رسید,SAD,SAD,True,gpt-4o
69,نان بدون پلاستیک تحویل داده شد که اصلا بهداشتی نیست,SAD,SAD,True,gpt-4o
70,غذا کاملا سرد بود و بزخورد مسئول رستوران وقتی برای پیگیری زنگ زدیم فوق العاده بد بود,SAD,SAD,True,gpt-4o
71,به نظرم بهتره قبل از درست کردن ساندویچ، نان‌ها رو با دستگاه تست کرد تا ساندویچ‌ها وا نره. ممنون,HAPPY,SAD,False,gpt-4o
72,بسیار تازه و خوشمزه. ممنون,HAPPY,HAPPY,True,gpt-4o
73,سالاد کرنبری = هم از کاهوهای قدیمی و پلاسیده استفاده کردن و هم اینکه خیلی درشت درشت بریده شد بود و لازم بود که دوباره با چاقو بریده بشن پیتژا باروژ = انتظار میره پیتزایی که به اسم رستوران هستش، بهترین پیتژا باشه؛ اما این رستوران پیتزاهای بهتر از این هم داره. پیتزا باروژ فقط مزه‌ی سیر میده!,SAD,SAD,True,gpt-4o
74,غذا سرد بود وسوپ اصلا خوشمزه نبود اسپرینگ رول سرد بود,SAD,SAD,True,gpt-4o
75,کیفیت عذا خوب بود. ولی به نسبت حجم، خیلی گرون بود. با همین قیمت و کیفیت رستورانهای دیگه، حجم غذاشون خیلی بیشتره.,SAD,SAD,True,gpt-4o
76,تمام سیب زمینی‌ها چسبیده بودن به ظرف. بعد کارتن خیس شده بود و کنده نمیشد اصلا نشد بخورم. خیلی ناراضی ام,SAD,SAD,True,gpt-4o
77,سیب زمینی سوخته بود,SAD,SAD,True,gpt-4o
78,متاسفانه غذا خیلی بد بود، سس آلفردو بد طعم بود، اصلا سس آلفردو نبود، یه سس سفید معمولی و ناپخته,SAD,SAD,True,gpt-4o
79,کیفیت شرینی بسیار پایین بود و شیرینی خیلی کهنه و مونده,SAD,SAD,True,gpt-4o
80,یکی از موارد سفارش را اشتباه برام فرستاده بودن که پیک اسنپ خیلی سریع برام برد و تعویضش کرد. ممنون از زوکت البته این اشتباه هم به خاطر شلوغ بودن سفارشات بوده و ممنون از پیک محترم اسنپ فود,HAPPY,HAPPY,True,gpt-4o
81,اگه این شیر مانیزان که بسیار باکیفیت هست و موجود کنید ممنون میشم و در نهایت به نظر بنده هم کار اسنپ فود حرفه‌ای هست و هم این سوپرمارکت با ارزوی موفقیت بیشتر,HAPPY,HAPPY,True,gpt-4o
82,له شده بود اصلا خوب نبود,HAPPY,SAD,False,gpt-4o
83,عالیییی بود عاااالی ما دوتا سفارش دادیم ۴نفر خوردن فقط یه مقدار پنیرش خوب آب نشده بود یک ربعه رسید بسته بندی خوب,HAPPY,HAPPY,True,gpt-4o
84,واقعا از گوشت مانده و بسیار بد طعم داره شده استفاده شده بود استفاده از زیره!!!,SAD,SAD,True,gpt-4o
85,سلام عالیه تورو خدا همینجوری با خاک قند باشه جدا نباشه,HAPPY,HAPPY,True,gpt-4o
86,به جای گوشت چرخ شده از سویا استفاده شده بود من به سویا حساسیت دارم نتونستم بخورم,SAD,SAD,True,gpt-4o
87,سلام. بستنی درخواستی لیوانی ماکسی بوده متأسفانه بدون کوچکترین هماهنگی و سوال، بستنی چوبی ارسال نمودند.,SAD,SAD,True,gpt-4o
88,یک سیخ اضافه گوجه سفارش دادم ولی نیاوردند. البته خود جوجه کباب گوجه داشت ولی سیخ اضافه نبود.,SAD,SAD,True,gpt-4o
89,واقعا کیفیت پیتزاهاتون حرف نداره و خدا کنه همیشه همین مدلی هم بمونه فقط تو رو خدا یکم از قیمت مالیاتتون کم کنید,HAPPY,HAPPY,True,gpt-4o
90,من همیشه از شما غذا میگیرم وای این سری اصلا کیفیت غذاتون خوب نبود، سس نفرستاده بودین واقعا فکر نکردین ساندویچو چجوری میشه بدون سس خورد ا!!!!,SAD,SAD,True,gpt-4o
91,برای یه مرغ دو تیکه بیش از ۱ ساعت زمان برد در صورتی که خودم با رستوران تماس میگرفتم سریعتر میومد کیفیت مرغ خیلی بد بود و سیب زمینی کنار غذا کاملا مانده بود,SAD,SAD,True,gpt-4o
92,تنباکو‌های ارسالی تاریخ مصرف شان گذشته بود.,SAD,SAD,True,gpt-4o
93,غذا کاملاسردبود …. جوجه اصلا کیفیت نداشت.. دورچین اون چیزی نبود ک توی عکس و توضیحات داشتید …..,SAD,SAD,True,gpt-4o
94,دلیوری عالیه! فک کنم زیر ۱۰ دیقه تحویل گرفتم,HAPPY,HAPPY,True,gpt-4o
95,واقعا بدترین نوع کیفیت رو داشت,SAD,SAD,True,gpt-4o
96,قاشق به همرا غذا فرستاده نشده بود فاکتور لازم داشتم که اون رو هم نفرستاده بود کیفیت غذا هم ضعیف بود متاسفانه,SAD,SAD,True,gpt-4o
97,همه چی ناب بود همین فرمون برید جلووووو,HAPPY,HAPPY,True,gpt-4o
98,سلام فقط اگر محدودیتی در حداقل مبلغ خرید تعیین نمیکرد، خیلی بهتر بود.,HAPPY,SAD,False,gpt-4o
99,به نظر من خوب بود. مخصوصا بسته بندیش,HAPPY,HAPPY,True,gpt-4o
100,ارزش ۱ نیم ساعت وقت رو نداشت براش منتظر موندم,SAD,SAD,True,gpt-4o
101,حجم کم. کیفیت پایین. من راضی نبودم,SAD,SAD,True,gpt-4o
102,همه چی خوب بود. به خصوص کته‌ها و ماهی کبابی. ولی سوپ کمی شور بود.,HAPPY,HAPPY,True,gpt-4o
103,مزه‌ی خوبی داشت ولی خیلی دیر به دستم رسید و به جای ۴تیکه ۳تیکه مرغ توی جعبه بود..,SAD,SAD,True,gpt-4o
104,همه چیز خوب بود به جز سالاد فصل که از کاهوی تلخ استفاده شده بود.,HAPPY,SAD,False,gpt-4o
105,مثل همیشه نبود، از سه پرس یکیش خورده نشد. کیفیت پایین,SAD,SAD,True,gpt-4o
106,مرغ مونده بود. شاید برای همین تخفیف خورده بود.,HAPPY,SAD,False,gpt-4o
107,بد بود بدترین پیتزای عمرم بود هم مقدارش به نسبت قیمت کم بود هم مزه‌ی خیلی بدی داشت,SAD,SAD,True,gpt-4o
108,خیلی خوب و سریع جنسهای درخواستی تحویل داده شد متشکرم,HAPPY,HAPPY,True,gpt-4o
109,عالی بود جوجه با استخوناشون حرف نداشت خیلی خوش مزه بود,HAPPY,HAPPY,True,gpt-4o
110,برخورد خود مسئول رستوران بسیار بد ولی از پیگیری اسنپ فود ممنونم,HAPPY,SAD,False,gpt-4o
111,واقعا یه زمانی برگر لند یکی از بهترینها بود، ولی الان در حد معمولی هم نیست، نمیدونم چی شده اینقدر افت کرده کیفیت برگراش. حیف,SAD,SAD,True,gpt-4o
112,کیفیت غذا با توجه به هزینش خیلی خوب بود ممنون,HAPPY,HAPPY,True,gpt-4o
113,بسیار عالی بود دو روز پشت سرهم سفارش دادم!,HAPPY,HAPPY,True,gpt-4o
114,کیفیت غذا نسبت به قبل پایین امده من در مورد غذا توضیحاتی داده بودم مثل سس اضافه ولی سس اضافه که نذاشتن هیچ اصلا سس نذاشته بودن,SAD,SAD,True,gpt-4o
115,پیتزا پنجره‌ای خوب بود ولی سبزیجات نمیدونم چرا اینبار مزه‌ای نداشت: (قبلا بهتر بود، ولی ممنون از تحویل به موقع,HAPPY,HAPPY,True,gpt-4o
116,از زمانی که سفارش دادم تا وقتی به دستم رسید یک ساعت زمان برد و بجای دو کیلو شیرینی یک کیلو ارسال کرده بودند که کم اومد و وسط کلاس کلی خجالت زده شدم,SAD,SAD,True,gpt-4o
117,نان هات داگ تازه نبود و از هم میپاشید,HAPPY,SAD,False,gpt-4o
118,مایع دستشویی اوه، من رنگ صورتی یا بنفش فک کنم، با رایحه شیر و‌گل‌های بهاری سفارش دادم ولی رنگ سبز با راسحه خیار و الوئه ورا فرستادن,HAPPY,SAD,False,gpt-4o
119,شیرنی دانمارکی به جای ۱ کیلو ۸۰۰ گرم بود لطفا رسیدگی کنید,SAD,SAD,True,gpt-4o
120,کیفیت و خوشمزگی پیتزا نسبت به دفعه قبل کم شده و نسبت به دیگر رستوران‌های خوب خیلی پائین‌تر است متاسفانه باید بگم که این اخرین خرید من خواهد بود,SAD,SAD,True,gpt-4o
121,خوشمزه بود. کشک به نسبت کم بود. بسته بندی و کیفیت خوب بود,HAPPY,HAPPY,True,gpt-4o
122,کیفیت برنج خوب بود ولی کیفیت جوجه واقعا بد بود. انقد سفت بود که اصلا خورده نمیشد. مثل اینکه از مرغ یخ زده استفاده کرده بودند.,SAD,SAD,True,gpt-4o
123,این سوپر مارکت باتوجه به این که من چند بار حضوری خرید کردم اجناس در اسنپ فود خیلی کمتر از سوپرمارکت هست و اجناسی مثل روغن سرخ کردنی در اسنپ فودش موجود نیست امیدوارم با پیگیری اسنپ فود محولات فروشگاه‌ها در اسنپ فود بروز و کامل باشد,SAD,SAD,True,gpt-4o
124,غذا سرد بود طعم غذا خوب بود,HAPPY,SAD,False,gpt-4o
125,شیرینی خیلی تازه نبود.,SAD,SAD,True,gpt-4o
126,دورتادور نون پیتزاش سوخته بود,SAD,SAD,True,gpt-4o
127,نان خوب پیک خوب پشتبانی خوب اسنپ فود,HAPPY,HAPPY,True,gpt-4o
128,عالی بود زود رسید ممنونم,HAPPY,HAPPY,True,gpt-4o
129,قیمت درج شده روی کالاها با قیمت درخواستی مغایرت داشت، به عنوان مثال دوغ عالیس نرخ ثبت شده روی بطری ۵۵۰۰ تومان بود که ۶۸۰۰ تومان و سیگار ۸۰۰۰ تومان که ۱۱۰۰۰تومان حساب شد >: (,SAD,SAD,True,gpt-4o
130,دفعه قبل پیتزا گرفته بودیم و درس عبرت نشد، این بار همبرگر گرفتم و دیگه درس عبرت شد. همبرگر با گوشت چرخ‌کرده فرق می‌کنه، نپخته و بد. واقعن به رتبه‌ی رستوران‌ها نمی‌شه اعتماد کرد,SAD,SAD,True,gpt-4o
131,تازه و خوشمزه فقط هزینه ارسال برای این مسیر کوتاه خیلی زیاده,HAPPY,SAD,False,gpt-4o
132,ممنونم نان‌هم‌گرم‌بود‌و به‌موفع رسید‌,HAPPY,HAPPY,True,gpt-4o
133,یکم بی طعم و مزه بود,HAPPY,HAPPY,True,gpt-4o
134,سلام. دو مطلب: اولا نوار بهداشتی رو این هایپرمارکت ۷۵۰۰ میفروشه در حالی که چند ساعت بعدش با همین اسنپ فود از یه هایپر مارکت دیگه خریدم دونه‌ای ۵۰۰۰ تومن. ثانیا به جای ۴ تا کیک مینی شی ناین ۴ تا پیراشکی نان اوران فرستادن. میخواستم بدونم این تصمیم پیک بود یا هایپرمارکت و محترمانه نبود قبلش از من هم نظرمو میپرسیدن؟,SAD,SAD,True,gpt-4o
135,متاسفانه یک عدد نون گزاشتن واسه یک پرس بندری واقعا جای تاسف داره,SAD,SAD,True,gpt-4o
136,بسیار وقت شناس، دقیق و محترم!,HAPPY,HAPPY,True,gpt-4o
137,به موقع و با کیفیت,HAPPY,HAPPY,True,gpt-4o
138,اجناسی که تو منو زدن رو تداشتن و کلی معطل شدم و چون حساب رو پرداخت کرده بودم مجبور شدموچیز دیگه‌ای سفارش بدم,SAD,SAD,True,gpt-4o
139,عالی بود خیلی هم سریع و داغ به دستم رسید,HAPPY,HAPPY,True,gpt-4o
140,پیک غذا را گذاشته تو آسانسور میگه غذا زیاد دارم وقت ندارم خود برای چی پول سرویس پیگیری وقتی چند تا سرویس را با هم انجام میدی؟,SAD,SAD,True,gpt-4o
141,متاسفانه پیک اسنپ فود شیرینی‌ها رو بهم ریخته تحویل داد و به هر کی که تعارف کردم محبور شدم یکبار هم بابت وضعیت ظاهری بد شیرینی‌ها معذرت بخوام,SAD,SAD,True,gpt-4o
142,عالیییی فقط پنیرش نسبت به قارچ کم بود درکل عالی ما سه نفری سیر شدیم,HAPPY,HAPPY,True,gpt-4o
143,حجم غذا نسبت به گذشته کم شده، ساندویچ چیکن، مرغش بو میداد …,SAD,SAD,True,gpt-4o
144,اولین تجربه‌ام از رستوران شما بود. کیفیت و مزه کباب خوب بود فقط سرد بود. با اینکه فاصله زیادی نداشتیم. از پیک محترم هم ممنون و سپاسگزاریم.,HAPPY,HAPPY,True,gpt-4o
145,کیفیت میوه نسبت به قیمت خیلی پایین بود. قیمت درجه یک و بعضی از میوه‌ها درجه ۳ بود. سومری سر کوچه میوه بهتر با قیمت پایین‌تری بهم داد.,SAD,SAD,True,gpt-4o
146,غذا با تاخیر ارسال شد انقدر غذا سرد شده بود که ماسیده بود و مجبور شدم ٢ تا گاز بزنم متاسفانه بندازم بیرون.,SAD,SAD,True,gpt-4o
147,"غذا یخ بسته بود و این باعث میشه کیفیت غذا پایین بیاد مجددا گرم شد طعم کلی تغییر کرد و در عین حال کیفیت پیتزا مرغ و اسفناج خیلی بهتر از پپرونی بود و دور پیتزا سوخته بود , ممنونم",SAD,SAD,True,gpt-4o
148,طعم و بسته عالی بود واقعا متشکرم و خسته نباشید سال‌ها بود چنین دیزی نخورده بودیم,SAD,HAPPY,False,gpt-4o
149,بسته بندی شیک و تر تمیز غذای خوشمزه، واقعا خوب بود,HAPPY,HAPPY,True,gpt-4o
150,شیری که برای من ارسال کردین تاریخ انقضاش فرداست!!! برای اینجور کالاها اول باید تاریخ انقضا رو چک کنین بعد بفرستین,HAPPY,SAD,False,gpt-4o
151,من چیز کیک میکس سفارش داده بودم که بسته‌ای که برام اومد نصفش چیز کیک بود نصفش کیک خامه ایه توت فرنگی!!!!!!,SAD,SAD,True,gpt-4o
152,مرغ سوخاری و چیکن برگرش عالی بود، هات داگش هم خوب بودخیلیم زود رسید، خیلی ممنونم,HAPPY,HAPPY,True,gpt-4o
153,انقدر مانده بود شیرینی‌ها که از هرچی شیرینی بود زده شدم واقعا بد بود,SAD,SAD,True,gpt-4o
154,به معنای واقعی افتضاح بود، مرغ خیلی بدمزه و بوی بد و نامطبوعی داشت داخل ساندویج کباب ترکی دریغ از یک پر کاهو و خیار شور یا گوجه تو رو خدا کیفیت پایین غذا رو گردن بالا بودن هزینه‌ها نندازید چون بابت همین دو قلم ۶۰ تومان پول پرداخت شد,SAD,SAD,True,gpt-4o
155,سالاد سزار خیلی سیر داشت قابل استفاده برای کسی که در محیط کار غذا میخورد نبود میتوانستند از مقدار ملایم‌تری سیر استفاده کنند,SAD,SAD,True,gpt-4o
156,کیفیت متوسط بود اما به نسبت در زمان خوبی رسید,HAPPY,HAPPY,True,gpt-4o
157,سلام خسته نباشید، ممنون از شما عزیزان هستیم بالاخص جناب مدیریت این مجموعه که بسیار به ما لطف دارند وپیشاپیش سال جدیدرابه شما وخانواده محترمتان تبریک میگوییم امیدوارم سالی پر ازسلامتی و برکت داشتخ باشید,HAPPY,HAPPY,True,gpt-4o
158,متن و خامه روی کیک ریخته شده بود,SAD,SAD,True,gpt-4o
159,پیتزا خیلی حجم خوبی داشت، برای دونفرم کافی هستش و طعم خوبی داشت,HAPPY,HAPPY,True,gpt-4o
160,زود به دستم رسید، تازه بود دانمارکی هنوز گرم بود,HAPPY,HAPPY,True,gpt-4o
161,از بیرون شبیه کوبیده، از داخل شیبه لاستیک,SAD,SAD,True,gpt-4o
162,بعد از چندین بار که هر دفعه از نامیا سفارش میدادم یه چیزیو بعد زنگ میزدن که موجود نیست این دفعه شد. نوشته استیک گوشت توشه ولی ژامبون گوشته,SAD,SAD,True,gpt-4o
163,گوشت‌ها نپخته، قارچ خام و پیاز خام و زنده، نون باگت در اثر روغن بیش از حد گوشت خیس شده و قابل خوردن نیست اولین و آخرین بار بود از اینجا خرید کردم افتضاح,SAD,SAD,True,gpt-4o
